Discord;Nom OC;Race;Image
JunkJumper#7912;UmmingBird;pegase;https://www.junkjumper-projects.com/FP/export/UmmingBirdApplejunk1-00129.png
AlexTheBest#5282;WindFlyer;pegase;https://www.junkjumper-projects.com/FP/export/WindFlyerMy-OC.png
Modrý Poník#4845;Feather Blue;terrestre;https://www.junkjumper-projects.com/FP/export/Feather BlueQuentin-steampunk-1.png
Juju Darky#7517;Darky;pegase;https://www.junkjumper-projects.com/FP/export/DarkyDarky.png
Comet Wing#7640;Comet Wing;pegase;https://www.junkjumper-projects.com/FP/export/Comet WingCometWingFlying.png
Akififi#0467 ;Sea Glow;pegase;https://www.junkjumper-projects.com/FP/export/Sea Glowmedium-3-.png
Patapon Jack_Dashie#4634;Ice Warm;licorne;https://www.junkjumper-projects.com/FP/export/Ice Warmice-warm.png
Chevalier Patate#4443;Falscher;changelin;https://www.junkjumper-projects.com/FP/export/Falscherty-ly-chargement.png
Ben_Alpha#1505;Ryoku Memori;alicorne;https://www.junkjumper-projects.com/FP/export/Ryoku MemoriRyoku-Memori.png
Skyller#1804;Lupina;pegase;https://www.junkjumper-projects.com/FP/export/LupinaLupina-Arley.png
Violet Cross#9720;Candy Gold;changelin;https://www.junkjumper-projects.com/FP/export/Candy GoldCandy-Gold.png
DanTriplerUn#4652;Dan Éditon;terrestre;https://www.junkjumper-projects.com/FP/export/Dan ÉditonLets-A-Go-Dan-Only-1.png
Scissor Twilight#0447;santal;licorne;https://www.junkjumper-projects.com/FP/export/santalPony.png
Lux The Pegasus#3209;Photo After;pegase;https://www.junkjumper-projects.com/FP/export/Photo Afterlux-pour-mlp-rainbow-by-lux-the-pegasus-dcukff0-Copie000.png
Virgile "VILE"#9211;Finami;terrestre;https://www.junkjumper-projects.com/FP/export/Finamifinami-MLP.png
Déliambre#3796;Déliambre Floss;pegase;https://www.junkjumper-projects.com/FP/export/Déliambre Flossdiscord.png
VinylSkaarj#7811;VinylSkaarj;pegase;https://www.junkjumper-projects.com/FP/export/VinylSkaarjmyPony.png
Janeo#1101;Zapfaine;terrestre;https://www.junkjumper-projects.com/FP/export/Zapfainezapfaine.png
CaptainPie ❤ 👮#1030;CaptainPie;pegase;https://www.junkjumper-projects.com/FP/export/CaptainPiesfffffffw2.png
Im A Flying T90#2917;Twist Cable;licorne;https://www.junkjumper-projects.com/FP/export/Twist CableTwist-Cable-2.png
C_Chell#8337;Kimi;licorne;https://www.junkjumper-projects.com/FP/export/KimiKimi.png
C_Chell#8337;Kimi;licorne;https://www.junkjumper-projects.com/FP/export/KimiKimi2.png
C_Chell#8337;Yakstodon;yak;https://www.junkjumper-projects.com/FP/export/YakstodonYak.png
Retributer#0059;Deck Swapper;terrestre;https://www.junkjumper-projects.com/FP/export/Deck SwapperRetriBanniere.png
Gael80 (Red Fly)#2236;Red Fly;pegase;https://www.junkjumper-projects.com/FP/export/Red FlyDBLtIh2XkAAYZ0b.png
TheoTam#2545;Lightfast;pegase;https://www.junkjumper-projects.com/FP/export/LightfastLightfast.png
AppleJacky#0343;AppleJacky;terrestre;https://www.junkjumper-projects.com/FP/export/AppleJackyhiResPony.png
ShurixDashiie#0666;ShellaSwift;pegase;https://www.junkjumper-projects.com/FP/export/ShellaSwiftShella-Swift-by-Faquali.png
Yuki#2138;Yuki;licorne;https://www.junkjumper-projects.com/FP/export/Yukitumblr-nf5ohq1Tn01qexvxeo2-1280.png
Céliart#2008;Céliart;terrestre;https://www.junkjumper-projects.com/FP/export/CéliartCy-liart.png
Céliart#2008;Céliart;terrestre;https://www.junkjumper-projects.com/FP/export/CéliartCy-liart.png
Onyx Stell#2102;Onyx Stell;licorne;https://www.junkjumper-projects.com/FP/export/Onyx StellOnyxSousDroguefondtransparent.png
EmMane-iac Mayhem#0103;Nightmare Tears;alicorne;https://www.junkjumper-projects.com/FP/export/Nightmare TearsNightmare-tears2.png
Fire (étonnant non ?)#0848;Fire Aspect;pegase;https://www.junkjumper-projects.com/FP/export/Fire AspectL-ocDuFire-removebg-preview.png
Cedric ☾MӨӨП☽ - Luna Vult#0003;Moon Rise;licorne;https://www.junkjumper-projects.com/FP/export/Moon RiseMoon-Rise.png
Minty Joy (Flora.morian#4838);Minty Joy;licorne;https://www.junkjumper-projects.com/FP/export/Minty JoyMintyJoy.png
Im A Flying T90#2917;Twist Cable;licorne;https://www.junkjumper-projects.com/FP/export/Twist CableTwistCable2.png
Coati Songeur#1932;Amari;pegase;https://www.junkjumper-projects.com/FP/export/AmariAmari.png
🦌 Juniper 🦌 #1070;Amari;pegase;https://www.junkjumper-projects.com/FP/export/AmariAmari.png
Stanislas M. Foutoukrée #4102;Mount Génépi;terrestre;https://www.junkjumper-projects.com/FP/export/Mount GénépiMount.png
Blossoming Painting#2329;Blossoming Painting;terrestre;https://www.junkjumper-projects.com/FP/export/Blossoming PaintingBlossomingPaintingOC.png
Moonrise#6352;Moon Rise;licorne;https://www.junkjumper-projects.com/FP/export/Moon Risemoonrise.png
Luke Mystic#7759;Luke Lulamoon;pegase;https://www.junkjumper-projects.com/FP/export/Luke LulamoonPop-corn-Luke-HD4.png
Ragnar#9305;Crimson Blaze;pegase;https://www.junkjumper-projects.com/FP/export/Crimson BlazeCrimsonBlaze.png
le chevalier rouki#0135;rouki;terrestre;https://www.junkjumper-projects.com/FP/export/roukirouki.png
LumaCraft10#6112;Astral;pegase;https://www.junkjumper-projects.com/FP/export/AstralAstral.png
Minux86#1225;IlluminOC;terrestre;https://www.junkjumper-projects.com/FP/export/IlluminOCIllumiOC.png
Aliax#8962;Aliax Smily;pegase;https://www.junkjumper-projects.com/FP/export/Aliax Smilycm-for-aliax29-2-by-unisoleil-dbumfgh.png
The-Volcano (The-Pony)#1128;Steam Gear;licorne;https://www.junkjumper-projects.com/FP/export/Steam GearTheVolcanoOC.png
Pegasuhira (Rnbw-I)#5451;Blue ;seapony;https://www.junkjumper-projects.com/FP/export/Blue B.png
Mcrafteur62#3826;Missile Touch;licorne;https://www.junkjumper-projects.com/FP/export/Missile Touchmissile-touch.png
Titanium TechFR#8092;Titanium TechFR;pegase;https://www.junkjumper-projects.com/FP/export/Titanium TechFRtitaniumV5FP.png
Nightfeathers#4082;Pheden Gearsing;licorne;https://www.junkjumper-projects.com/FP/export/Pheden GearsingWallpaperPheden.png